date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-11,Baltimore,Maryland,1,0,0,0
2020-03-12,Baltimore,Maryland,1,0,0,0
2020-03-13,Baltimore,Maryland,2,0,1,0
2020-03-14,Baltimore,Maryland,3,0,1,0
2020-03-15,Baltimore,Maryland,3,0,0,0
2020-03-16,Baltimore,Maryland,4,0,1,0
2020-03-17,Baltimore,Maryland,4,0,0,0
2020-03-18,Baltimore,Maryland,7,0,3,0
2020-03-19,Baltimore,Maryland,13,0,6,0
2020-03-20,Baltimore,Maryland,13,1,0,1
2020-03-21,Baltimore,Maryland,19,1,6,0
2020-03-22,Baltimore,Maryland,28,1,9,0
2020-03-23,Baltimore,Maryland,35,1,7,0
2020-03-24,Baltimore,Maryland,42,1,7,0
2020-03-25,Baltimore,Maryland,51,1,9,0
2020-03-26,Baltimore,Maryland,81,1,30,0
2020-03-27,Baltimore,Maryland,103,1,22,0
2020-03-28,Baltimore,Maryland,141,1,38,0
2020-03-29,Baltimore,Maryland,162,1,21,0
2020-03-30,Baltimore,Maryland,186,1,24,0
2020-03-31,Baltimore,Maryland,227,1,41,0
2020-04-01,Baltimore,Maryland,289,1,62,0
2020-04-02,Baltimore,Maryland,353,1,64,0
2020-04-03,Baltimore,Maryland,427,3,74,2
