date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-04,Bergen,New Jersey,1,0,0,0
2020-03-05,Bergen,New Jersey,2,0,1,0
2020-03-06,Bergen,New Jersey,3,0,1,0
2020-03-07,Bergen,New Jersey,3,0,0,0
2020-03-08,Bergen,New Jersey,4,0,1,0
2020-03-09,Bergen,New Jersey,5,0,1,0
2020-03-10,Bergen,New Jersey,7,1,2,1
2020-03-11,Bergen,New Jersey,11,1,4,0
2020-03-12,Bergen,New Jersey,13,1,2,0
2020-03-13,Bergen,New Jersey,17,1,4,0
2020-03-14,Bergen,New Jersey,31,1,14,0
2020-03-15,Bergen,New Jersey,32,1,1,0
2020-03-16,Bergen,New Jersey,61,2,29,1
2020-03-17,Bergen,New Jersey,84,2,23,0
2020-03-18,Bergen,New Jersey,133,4,49,2
2020-03-19,Bergen,New Jersey,297,6,164,2
2020-03-20,Bergen,New Jersey,342,7,45,1
2020-03-21,Bergen,New Jersey,362,9,20,2
2020-03-22,Bergen,New Jersey,457,10,95,1
2020-03-23,Bergen,New Jersey,609,12,152,2
2020-03-24,Bergen,New Jersey,701,14,92,2
2020-03-25,Bergen,New Jersey,819,15,118,1
2020-03-26,Bergen,New Jersey,1206,21,387,6
2020-03-27,Bergen,New Jersey,1505,28,299,7
2020-03-28,Bergen,New Jersey,1838,35,333,7
2020-03-29,Bergen,New Jersey,2169,35,331,0
2020-03-30,Bergen,New Jersey,2482,41,313,6
2020-03-31,Bergen,New Jersey,2909,53,427,12
2020-04-01,Bergen,New Jersey,3494,75,585,22
2020-04-02,Bergen,New Jersey,4099,120,605,45
2020-04-03,Bergen,New Jersey,4866,132,767,12
