date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-07,Berkshire,Massachusetts,1,0,0,0
2020-03-08,Berkshire,Massachusetts,1,0,0,0
2020-03-09,Berkshire,Massachusetts,5,0,4,0
2020-03-10,Berkshire,Massachusetts,7,0,2,0
2020-03-11,Berkshire,Massachusetts,9,0,2,0
2020-03-12,Berkshire,Massachusetts,9,0,0,0
2020-03-13,Berkshire,Massachusetts,9,0,0,0
2020-03-14,Berkshire,Massachusetts,9,0,0,0
2020-03-15,Berkshire,Massachusetts,9,0,0,0
2020-03-16,Berkshire,Massachusetts,11,0,2,0
2020-03-17,Berkshire,Massachusetts,14,0,3,0
2020-03-18,Berkshire,Massachusetts,17,0,3,0
2020-03-19,Berkshire,Massachusetts,18,0,1,0
2020-03-20,Berkshire,Massachusetts,20,0,2,0
2020-03-21,Berkshire,Massachusetts,21,0,1,0
2020-03-22,Berkshire,Massachusetts,23,1,2,1
2020-03-23,Berkshire,Massachusetts,26,1,3,0
2020-03-24,Berkshire,Massachusetts,37,2,11,1
2020-03-25,Berkshire,Massachusetts,71,2,34,0
2020-03-26,Berkshire,Massachusetts,73,2,2,0
2020-03-27,Berkshire,Massachusetts,105,4,32,2
2020-03-28,Berkshire,Massachusetts,119,4,14,0
2020-03-29,Berkshire,Massachusetts,151,5,32,1
2020-03-30,Berkshire,Massachusetts,162,5,11,0
2020-03-31,Berkshire,Massachusetts,171,6,9,1
2020-04-01,Berkshire,Massachusetts,183,6,12,0
2020-04-02,Berkshire,Massachusetts,213,7,30,1
2020-04-03,Berkshire,Massachusetts,240,7,27,0
