date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-24,Bradford,Pennsylvania,1,0,0,0
2020-03-25,Bradford,Pennsylvania,1,0,0,0
2020-03-26,Bradford,Pennsylvania,2,0,1,0
2020-03-27,Bradford,Pennsylvania,2,0,0,0
2020-03-28,Bradford,Pennsylvania,3,0,1,0
2020-03-29,Bradford,Pennsylvania,3,0,0,0
2020-03-30,Bradford,Pennsylvania,3,0,0,0
2020-03-31,Bradford,Pennsylvania,7,0,4,0
2020-04-01,Bradford,Pennsylvania,8,0,1,0
2020-04-02,Bradford,Pennsylvania,8,0,0,0
2020-04-03,Bradford,Pennsylvania,9,0,1,0
