date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-14,Broome,New York,1,0,0,0
2020-03-15,Broome,New York,1,0,0,0
2020-03-16,Broome,New York,1,0,0,0
2020-03-17,Broome,New York,1,0,0,0
2020-03-18,Broome,New York,2,0,1,0
2020-03-19,Broome,New York,2,0,0,0
2020-03-20,Broome,New York,2,0,0,0
2020-03-21,Broome,New York,2,1,0,1
2020-03-22,Broome,New York,3,1,1,0
2020-03-23,Broome,New York,7,1,4,0
2020-03-24,Broome,New York,9,1,2,0
2020-03-25,Broome,New York,11,1,2,0
2020-03-26,Broome,New York,16,2,5,1
2020-03-27,Broome,New York,18,3,2,1
2020-03-28,Broome,New York,23,3,5,0
2020-03-29,Broome,New York,29,3,6,0
2020-03-30,Broome,New York,35,3,6,0
2020-03-31,Broome,New York,38,3,3,0
2020-04-01,Broome,New York,42,4,4,1
2020-04-02,Broome,New York,46,4,4,0
2020-04-03,Broome,New York,46,4,0,0
