date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-06,Camden,New Jersey,1,0,0,0
2020-03-07,Camden,New Jersey,1,0,0,0
2020-03-08,Camden,New Jersey,1,0,0,0
2020-03-09,Camden,New Jersey,1,0,0,0
2020-03-10,Camden,New Jersey,1,0,0,0
2020-03-11,Camden,New Jersey,1,0,0,0
2020-03-12,Camden,New Jersey,1,0,0,0
2020-03-13,Camden,New Jersey,2,0,1,0
2020-03-14,Camden,New Jersey,2,0,0,0
2020-03-15,Camden,New Jersey,2,0,0,0
2020-03-16,Camden,New Jersey,3,0,1,0
2020-03-17,Camden,New Jersey,3,0,0,0
2020-03-18,Camden,New Jersey,10,0,7,0
2020-03-19,Camden,New Jersey,11,0,1,0
2020-03-20,Camden,New Jersey,15,0,4,0
2020-03-21,Camden,New Jersey,15,0,0,0
2020-03-22,Camden,New Jersey,22,0,7,0
2020-03-23,Camden,New Jersey,33,0,11,0
2020-03-24,Camden,New Jersey,51,1,18,1
2020-03-25,Camden,New Jersey,61,1,10,0
2020-03-26,Camden,New Jersey,73,1,12,0
2020-03-27,Camden,New Jersey,95,1,22,0
2020-03-28,Camden,New Jersey,123,1,28,0
2020-03-29,Camden,New Jersey,163,1,40,0
2020-03-30,Camden,New Jersey,200,1,37,0
2020-03-31,Camden,New Jersey,228,3,28,2
2020-04-01,Camden,New Jersey,289,3,61,0
2020-04-02,Camden,New Jersey,343,8,54,5
2020-04-03,Camden,New Jersey,406,8,63,0
