date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-24,Carbon,Pennsylvania,1,0,0,0
2020-03-25,Carbon,Pennsylvania,1,0,0,0
2020-03-26,Carbon,Pennsylvania,2,0,1,0
2020-03-27,Carbon,Pennsylvania,2,0,0,0
2020-03-28,Carbon,Pennsylvania,3,0,1,0
2020-03-29,Carbon,Pennsylvania,9,0,6,0
2020-03-30,Carbon,Pennsylvania,13,0,4,0
2020-03-31,Carbon,Pennsylvania,17,1,4,1
2020-04-01,Carbon,Pennsylvania,23,1,6,0
2020-04-02,Carbon,Pennsylvania,26,1,3,0
2020-04-03,Carbon,Pennsylvania,34,1,8,0
