date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-22,Cecil,Maryland,1,0,0,0
2020-03-23,Cecil,Maryland,1,0,0,0
2020-03-24,Cecil,Maryland,3,0,2,0
2020-03-25,Cecil,Maryland,4,0,1,0
2020-03-26,Cecil,Maryland,4,0,0,0
2020-03-27,Cecil,Maryland,9,0,5,0
2020-03-28,Cecil,Maryland,13,0,4,0
2020-03-29,Cecil,Maryland,13,0,0,0
2020-03-30,Cecil,Maryland,13,0,0,0
2020-03-31,Cecil,Maryland,14,0,1,0
2020-04-01,Cecil,Maryland,16,1,2,1
2020-04-02,Cecil,Maryland,20,1,4,0
2020-04-03,Cecil,Maryland,25,1,5,0
