date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-18,Chenango,New York,1,0,0,0
2020-03-19,Chenango,New York,1,0,0,0
2020-03-20,Chenango,New York,2,0,1,0
2020-03-21,Chenango,New York,2,0,0,0
2020-03-22,Chenango,New York,3,0,1,0
2020-03-23,Chenango,New York,3,0,0,0
2020-03-24,Chenango,New York,3,0,0,0
2020-03-25,Chenango,New York,3,0,0,0
2020-03-26,Chenango,New York,3,0,0,0
2020-03-27,Chenango,New York,4,0,1,0
2020-03-28,Chenango,New York,8,0,4,0
2020-03-29,Chenango,New York,15,0,7,0
2020-03-30,Chenango,New York,17,0,2,0
2020-03-31,Chenango,New York,19,0,2,0
2020-04-01,Chenango,New York,26,0,7,0
2020-04-02,Chenango,New York,28,0,2,0
2020-04-03,Chenango,New York,28,0,0,0
