date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-13,Chester,Pennsylvania,1,0,0,0
2020-03-14,Chester,Pennsylvania,2,0,1,0
2020-03-15,Chester,Pennsylvania,4,0,2,0
2020-03-16,Chester,Pennsylvania,4,0,0,0
2020-03-17,Chester,Pennsylvania,4,0,0,0
2020-03-18,Chester,Pennsylvania,9,0,5,0
2020-03-19,Chester,Pennsylvania,10,0,1,0
2020-03-20,Chester,Pennsylvania,17,0,7,0
2020-03-21,Chester,Pennsylvania,19,0,2,0
2020-03-22,Chester,Pennsylvania,23,0,4,0
2020-03-23,Chester,Pennsylvania,40,0,17,0
2020-03-24,Chester,Pennsylvania,40,0,0,0
2020-03-25,Chester,Pennsylvania,54,0,14,0
2020-03-26,Chester,Pennsylvania,84,0,30,0
2020-03-27,Chester,Pennsylvania,107,0,23,0
2020-03-28,Chester,Pennsylvania,116,0,9,0
2020-03-29,Chester,Pennsylvania,137,0,21,0
2020-03-30,Chester,Pennsylvania,146,0,9,0
2020-03-31,Chester,Pennsylvania,159,1,13,1
2020-04-01,Chester,Pennsylvania,183,1,24,0
2020-04-02,Chester,Pennsylvania,210,2,27,1
2020-04-03,Chester,Pennsylvania,226,2,16,0
