date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-20,Cumberland,New Jersey,1,0,0,0
2020-03-21,Cumberland,New Jersey,1,0,0,0
2020-03-22,Cumberland,New Jersey,1,0,0,0
2020-03-23,Cumberland,New Jersey,1,0,0,0
2020-03-24,Cumberland,New Jersey,2,0,1,0
2020-03-25,Cumberland,New Jersey,3,1,1,1
2020-03-26,Cumberland,New Jersey,4,1,1,0
2020-03-27,Cumberland,New Jersey,9,1,5,0
2020-03-28,Cumberland,New Jersey,11,1,2,0
2020-03-29,Cumberland,New Jersey,11,1,0,0
2020-03-30,Cumberland,New Jersey,12,1,1,0
2020-03-31,Cumberland,New Jersey,18,1,6,0
2020-04-01,Cumberland,New Jersey,27,1,9,0
2020-04-02,Cumberland,New Jersey,31,1,4,0
2020-04-03,Cumberland,New Jersey,36,1,5,0
