date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-22,Dauphin,Pennsylvania,1,0,0,0
2020-03-23,Dauphin,Pennsylvania,1,0,0,0
2020-03-24,Dauphin,Pennsylvania,4,0,3,0
2020-03-25,Dauphin,Pennsylvania,10,0,6,0
2020-03-26,Dauphin,Pennsylvania,13,0,3,0
2020-03-27,Dauphin,Pennsylvania,18,0,5,0
2020-03-28,Dauphin,Pennsylvania,23,0,5,0
2020-03-29,Dauphin,Pennsylvania,35,0,12,0
2020-03-30,Dauphin,Pennsylvania,36,0,1,0
2020-03-31,Dauphin,Pennsylvania,45,1,9,1
2020-04-01,Dauphin,Pennsylvania,59,1,14,0
2020-04-02,Dauphin,Pennsylvania,67,1,8,0
2020-04-03,Dauphin,Pennsylvania,79,1,12,0
