date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-12,Delaware,New York,1,0,0,0
2020-03-13,Delaware,New York,1,0,0,0
2020-03-14,Delaware,New York,1,0,0,0
2020-03-15,Delaware,New York,1,0,0,0
2020-03-16,Delaware,New York,1,0,0,0
2020-03-17,Delaware,New York,1,0,0,0
2020-03-18,Delaware,New York,1,0,0,0
2020-03-19,Delaware,New York,1,0,0,0
2020-03-20,Delaware,New York,1,0,0,0
2020-03-21,Delaware,New York,1,0,0,0
2020-03-22,Delaware,New York,3,0,2,0
2020-03-23,Delaware,New York,3,0,0,0
2020-03-24,Delaware,New York,3,0,0,0
2020-03-25,Delaware,New York,5,0,2,0
2020-03-26,Delaware,New York,7,0,2,0
2020-03-27,Delaware,New York,8,0,1,0
2020-03-28,Delaware,New York,8,0,0,0
2020-03-29,Delaware,New York,8,0,0,0
2020-03-30,Delaware,New York,11,0,3,0
2020-03-31,Delaware,New York,16,0,5,0
2020-04-01,Delaware,New York,20,0,4,0
2020-04-02,Delaware,New York,23,1,3,1
2020-04-03,Delaware,New York,23,1,0,0
