date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-06,Delaware,Pennsylvania,1,0,0,0
2020-03-07,Delaware,Pennsylvania,1,0,0,0
2020-03-08,Delaware,Pennsylvania,1,0,0,0
2020-03-09,Delaware,Pennsylvania,1,0,0,0
2020-03-10,Delaware,Pennsylvania,1,0,0,0
2020-03-11,Delaware,Pennsylvania,1,0,0,0
2020-03-12,Delaware,Pennsylvania,1,0,0,0
2020-03-13,Delaware,Pennsylvania,6,0,5,0
2020-03-14,Delaware,Pennsylvania,6,0,0,0
2020-03-15,Delaware,Pennsylvania,7,0,1,0
2020-03-16,Delaware,Pennsylvania,7,0,0,0
2020-03-17,Delaware,Pennsylvania,9,0,2,0
2020-03-18,Delaware,Pennsylvania,14,0,5,0
2020-03-19,Delaware,Pennsylvania,14,0,0,0
2020-03-20,Delaware,Pennsylvania,23,0,9,0
2020-03-21,Delaware,Pennsylvania,33,0,10,0
2020-03-22,Delaware,Pennsylvania,43,0,10,0
2020-03-23,Delaware,Pennsylvania,54,0,11,0
2020-03-24,Delaware,Pennsylvania,84,0,30,0
2020-03-25,Delaware,Pennsylvania,101,0,17,0
2020-03-26,Delaware,Pennsylvania,156,1,55,1
2020-03-27,Delaware,Pennsylvania,185,3,29,2
2020-03-28,Delaware,Pennsylvania,226,4,41,1
2020-03-29,Delaware,Pennsylvania,276,4,50,0
2020-03-30,Delaware,Pennsylvania,303,4,27,0
2020-03-31,Delaware,Pennsylvania,338,6,35,2
2020-04-01,Delaware,Pennsylvania,390,7,52,1
2020-04-02,Delaware,Pennsylvania,470,8,80,1
2020-04-03,Delaware,Pennsylvania,542,10,72,2
