date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-08,Fairfield,Connecticut,1,0,0,0
2020-03-09,Fairfield,Connecticut,2,0,1,0
2020-03-10,Fairfield,Connecticut,2,0,0,0
2020-03-11,Fairfield,Connecticut,3,0,1,0
2020-03-12,Fairfield,Connecticut,5,0,2,0
2020-03-13,Fairfield,Connecticut,8,0,3,0
2020-03-14,Fairfield,Connecticut,15,0,7,0
2020-03-15,Fairfield,Connecticut,16,0,1,0
2020-03-16,Fairfield,Connecticut,29,0,13,0
2020-03-17,Fairfield,Connecticut,48,0,19,0
2020-03-18,Fairfield,Connecticut,69,1,21,1
2020-03-19,Fairfield,Connecticut,102,4,33,3
2020-03-20,Fairfield,Connecticut,122,4,20,0
2020-03-21,Fairfield,Connecticut,140,4,18,0
2020-03-22,Fairfield,Connecticut,208,5,68,1
2020-03-23,Fairfield,Connecticut,270,6,62,1
2020-03-24,Fairfield,Connecticut,384,7,114,1
2020-03-25,Fairfield,Connecticut,546,12,162,5
2020-03-26,Fairfield,Connecticut,607,13,61,1
2020-03-27,Fairfield,Connecticut,752,15,145,2
2020-03-28,Fairfield,Connecticut,908,20,156,5
2020-03-29,Fairfield,Connecticut,1245,21,337,1
2020-03-30,Fairfield,Connecticut,1445,21,200,0
2020-03-31,Fairfield,Connecticut,1870,38,425,17
2020-04-01,Fairfield,Connecticut,1986,46,116,8
2020-04-02,Fairfield,Connecticut,2132,65,146,19
2020-04-03,Fairfield,Connecticut,2717,76,585,11
