date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-17,Gloucester,New Jersey,2,0,0,0
2020-03-18,Gloucester,New Jersey,2,0,0,0
2020-03-19,Gloucester,New Jersey,3,0,1,0
2020-03-20,Gloucester,New Jersey,3,0,0,0
2020-03-21,Gloucester,New Jersey,6,0,3,0
2020-03-22,Gloucester,New Jersey,8,0,2,0
2020-03-23,Gloucester,New Jersey,13,0,5,0
2020-03-24,Gloucester,New Jersey,19,0,6,0
2020-03-25,Gloucester,New Jersey,23,0,4,0
2020-03-26,Gloucester,New Jersey,33,0,10,0
2020-03-27,Gloucester,New Jersey,40,1,7,1
2020-03-28,Gloucester,New Jersey,51,1,11,0
2020-03-29,Gloucester,New Jersey,72,1,21,0
2020-03-30,Gloucester,New Jersey,89,1,17,0
2020-03-31,Gloucester,New Jersey,114,2,25,1
2020-04-01,Gloucester,New Jersey,149,2,35,0
2020-04-02,Gloucester,New Jersey,169,2,20,0
2020-04-03,Gloucester,New Jersey,183,3,14,1
