date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-15,Greene,New York,2,0,0,0
2020-03-16,Greene,New York,2,0,0,0
2020-03-17,Greene,New York,2,0,0,0
2020-03-18,Greene,New York,2,0,0,0
2020-03-19,Greene,New York,2,0,0,0
2020-03-20,Greene,New York,2,0,0,0
2020-03-21,Greene,New York,2,0,0,0
2020-03-22,Greene,New York,2,0,0,0
2020-03-23,Greene,New York,4,0,2,0
2020-03-24,Greene,New York,4,0,0,0
2020-03-25,Greene,New York,4,0,0,0
2020-03-26,Greene,New York,5,0,1,0
2020-03-27,Greene,New York,6,0,1,0
2020-03-28,Greene,New York,7,0,1,0
2020-03-29,Greene,New York,7,0,0,0
2020-03-30,Greene,New York,10,0,3,0
2020-03-31,Greene,New York,16,0,6,0
2020-04-01,Greene,New York,18,0,2,0
2020-04-02,Greene,New York,21,0,3,0
2020-04-03,Greene,New York,21,0,0,0
