date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-08,Harford,Maryland,1,0,0,0
2020-03-09,Harford,Maryland,1,0,0,0
2020-03-10,Harford,Maryland,1,0,0,0
2020-03-11,Harford,Maryland,1,0,0,0
2020-03-12,Harford,Maryland,1,0,0,0
2020-03-13,Harford,Maryland,1,0,0,0
2020-03-14,Harford,Maryland,2,0,1,0
2020-03-15,Harford,Maryland,2,0,0,0
2020-03-16,Harford,Maryland,2,0,0,0
2020-03-17,Harford,Maryland,2,0,0,0
2020-03-18,Harford,Maryland,3,0,1,0
2020-03-19,Harford,Maryland,3,0,0,0
2020-03-20,Harford,Maryland,5,0,2,0
2020-03-21,Harford,Maryland,5,0,0,0
2020-03-22,Harford,Maryland,5,0,0,0
2020-03-23,Harford,Maryland,5,0,0,0
2020-03-24,Harford,Maryland,5,0,0,0
2020-03-25,Harford,Maryland,5,0,0,0
2020-03-26,Harford,Maryland,9,0,4,0
2020-03-27,Harford,Maryland,18,0,9,0
2020-03-28,Harford,Maryland,21,0,3,0
2020-03-29,Harford,Maryland,23,0,2,0
2020-03-30,Harford,Maryland,24,0,1,0
2020-03-31,Harford,Maryland,25,0,1,0
2020-04-01,Harford,Maryland,34,0,9,0
2020-04-02,Harford,Maryland,37,0,3,0
2020-04-03,Harford,Maryland,41,0,4,0
