date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-09,Hudson,New Jersey,1,0,0,0
2020-03-10,Hudson,New Jersey,1,0,0,0
2020-03-11,Hudson,New Jersey,1,0,0,0
2020-03-12,Hudson,New Jersey,1,0,0,0
2020-03-13,Hudson,New Jersey,3,0,2,0
2020-03-14,Hudson,New Jersey,5,0,2,0
2020-03-15,Hudson,New Jersey,10,0,5,0
2020-03-16,Hudson,New Jersey,19,0,9,0
2020-03-17,Hudson,New Jersey,24,0,5,0
2020-03-18,Hudson,New Jersey,34,0,10,0
2020-03-19,Hudson,New Jersey,55,0,21,0
2020-03-20,Hudson,New Jersey,66,0,11,0
2020-03-21,Hudson,New Jersey,97,0,31,0
2020-03-22,Hudson,New Jersey,126,0,29,0
2020-03-23,Hudson,New Jersey,190,0,64,0
2020-03-24,Hudson,New Jersey,234,3,44,3
2020-03-25,Hudson,New Jersey,260,4,26,1
2020-03-26,Hudson,New Jersey,441,4,181,0
2020-03-27,Hudson,New Jersey,594,4,153,0
2020-03-28,Hudson,New Jersey,771,6,177,2
2020-03-29,Hudson,New Jersey,974,6,203,0
2020-03-30,Hudson,New Jersey,1314,11,340,5
2020-03-31,Hudson,New Jersey,1606,16,292,5
2020-04-01,Hudson,New Jersey,1910,29,304,13
2020-04-02,Hudson,New Jersey,2270,44,360,15
2020-04-03,Hudson,New Jersey,2835,59,565,15
