date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-16,Hunterdon,New Jersey,1,0,0,0
2020-03-17,Hunterdon,New Jersey,4,0,3,0
2020-03-18,Hunterdon,New Jersey,6,0,2,0
2020-03-19,Hunterdon,New Jersey,8,0,2,0
2020-03-20,Hunterdon,New Jersey,11,0,3,0
2020-03-21,Hunterdon,New Jersey,14,0,3,0
2020-03-22,Hunterdon,New Jersey,16,0,2,0
2020-03-23,Hunterdon,New Jersey,18,0,2,0
2020-03-24,Hunterdon,New Jersey,25,0,7,0
2020-03-25,Hunterdon,New Jersey,25,0,0,0
2020-03-26,Hunterdon,New Jersey,39,0,14,0
2020-03-27,Hunterdon,New Jersey,52,0,13,0
2020-03-28,Hunterdon,New Jersey,61,0,9,0
2020-03-29,Hunterdon,New Jersey,66,0,5,0
2020-03-30,Hunterdon,New Jersey,79,0,13,0
2020-03-31,Hunterdon,New Jersey,97,0,18,0
2020-04-01,Hunterdon,New Jersey,117,0,20,0
2020-04-02,Hunterdon,New Jersey,130,0,13,0
2020-04-03,Hunterdon,New Jersey,148,0,18,0
