date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-18,Lackawanna,Pennsylvania,2,0,0,0
2020-03-19,Lackawanna,Pennsylvania,3,0,1,0
2020-03-20,Lackawanna,Pennsylvania,5,0,2,0
2020-03-21,Lackawanna,Pennsylvania,6,0,1,0
2020-03-22,Lackawanna,Pennsylvania,6,0,0,0
2020-03-23,Lackawanna,Pennsylvania,7,1,1,1
2020-03-24,Lackawanna,Pennsylvania,15,1,8,0
2020-03-25,Lackawanna,Pennsylvania,18,2,3,1
2020-03-26,Lackawanna,Pennsylvania,28,2,10,0
2020-03-27,Lackawanna,Pennsylvania,35,2,7,0
2020-03-28,Lackawanna,Pennsylvania,51,2,16,0
2020-03-29,Lackawanna,Pennsylvania,56,2,5,0
2020-03-30,Lackawanna,Pennsylvania,62,2,6,0
2020-03-31,Lackawanna,Pennsylvania,78,3,16,1
2020-04-01,Lackawanna,Pennsylvania,85,3,7,0
2020-04-02,Lackawanna,Pennsylvania,108,3,23,0
2020-04-03,Lackawanna,Pennsylvania,119,4,11,1
