date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-15,Lehigh,Pennsylvania,1,0,0,0
2020-03-16,Lehigh,Pennsylvania,1,0,0,0
2020-03-17,Lehigh,Pennsylvania,1,0,0,0
2020-03-18,Lehigh,Pennsylvania,1,0,0,0
2020-03-19,Lehigh,Pennsylvania,1,0,0,0
2020-03-20,Lehigh,Pennsylvania,2,0,1,0
2020-03-21,Lehigh,Pennsylvania,13,0,11,0
2020-03-22,Lehigh,Pennsylvania,19,0,6,0
2020-03-23,Lehigh,Pennsylvania,25,0,6,0
2020-03-24,Lehigh,Pennsylvania,27,0,2,0
2020-03-25,Lehigh,Pennsylvania,38,0,11,0
2020-03-26,Lehigh,Pennsylvania,63,1,25,1
2020-03-27,Lehigh,Pennsylvania,93,2,30,1
2020-03-28,Lehigh,Pennsylvania,109,3,16,1
2020-03-29,Lehigh,Pennsylvania,151,3,42,0
2020-03-30,Lehigh,Pennsylvania,231,3,80,0
2020-03-31,Lehigh,Pennsylvania,272,4,41,1
2020-04-01,Lehigh,Pennsylvania,374,5,102,1
2020-04-02,Lehigh,Pennsylvania,479,5,105,0
2020-04-03,Lehigh,Pennsylvania,584,5,105,0
