date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-09,Monmouth,New Jersey,2,0,0,0
2020-03-10,Monmouth,New Jersey,2,0,0,0
2020-03-11,Monmouth,New Jersey,4,0,2,0
2020-03-12,Monmouth,New Jersey,5,0,1,0
2020-03-13,Monmouth,New Jersey,7,0,2,0
2020-03-14,Monmouth,New Jersey,8,1,1,1
2020-03-15,Monmouth,New Jersey,11,1,3,0
2020-03-16,Monmouth,New Jersey,14,1,3,0
2020-03-17,Monmouth,New Jersey,22,1,8,0
2020-03-18,Monmouth,New Jersey,32,1,10,0
2020-03-19,Monmouth,New Jersey,43,1,11,0
2020-03-20,Monmouth,New Jersey,53,1,10,0
2020-03-21,Monmouth,New Jersey,92,2,39,1
2020-03-22,Monmouth,New Jersey,158,2,66,0
2020-03-23,Monmouth,New Jersey,238,2,80,0
2020-03-24,Monmouth,New Jersey,288,4,50,2
2020-03-25,Monmouth,New Jersey,313,6,25,2
2020-03-26,Monmouth,New Jersey,501,7,188,1
2020-03-27,Monmouth,New Jersey,634,10,133,3
2020-03-28,Monmouth,New Jersey,781,10,147,0
2020-03-29,Monmouth,New Jersey,870,10,89,0
2020-03-30,Monmouth,New Jersey,1030,15,160,5
2020-03-31,Monmouth,New Jersey,1140,21,110,6
2020-04-01,Monmouth,New Jersey,1301,24,161,3
2020-04-02,Monmouth,New Jersey,1458,38,157,14
2020-04-03,Monmouth,New Jersey,1743,48,285,10
