date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-09,Monroe,Pennsylvania,1,0,0,0
2020-03-10,Monroe,Pennsylvania,1,0,0,0
2020-03-11,Monroe,Pennsylvania,2,0,1,0
2020-03-12,Monroe,Pennsylvania,2,0,0,0
2020-03-13,Monroe,Pennsylvania,3,0,1,0
2020-03-14,Monroe,Pennsylvania,3,0,0,0
2020-03-15,Monroe,Pennsylvania,7,0,4,0
2020-03-16,Monroe,Pennsylvania,9,0,2,0
2020-03-17,Monroe,Pennsylvania,9,0,0,0
2020-03-18,Monroe,Pennsylvania,9,0,0,0
2020-03-19,Monroe,Pennsylvania,15,0,6,0
2020-03-20,Monroe,Pennsylvania,19,0,4,0
2020-03-21,Monroe,Pennsylvania,25,0,6,0
2020-03-22,Monroe,Pennsylvania,31,0,6,0
2020-03-23,Monroe,Pennsylvania,43,1,12,1
2020-03-24,Monroe,Pennsylvania,45,1,2,0
2020-03-25,Monroe,Pennsylvania,51,1,6,0
2020-03-26,Monroe,Pennsylvania,67,2,16,1
2020-03-27,Monroe,Pennsylvania,98,2,31,0
2020-03-28,Monroe,Pennsylvania,106,2,8,0
2020-03-29,Monroe,Pennsylvania,135,3,29,1
2020-03-30,Monroe,Pennsylvania,182,7,47,4
2020-03-31,Monroe,Pennsylvania,236,7,54,0
2020-04-01,Monroe,Pennsylvania,278,8,42,1
2020-04-02,Monroe,Pennsylvania,321,10,43,2
2020-04-03,Monroe,Pennsylvania,397,10,76,0
