date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-07,Montgomery,Pennsylvania,2,0,0,0
2020-03-08,Montgomery,Pennsylvania,4,0,2,0
2020-03-09,Montgomery,Pennsylvania,7,0,3,0
2020-03-10,Montgomery,Pennsylvania,8,0,1,0
2020-03-11,Montgomery,Pennsylvania,9,0,1,0
2020-03-12,Montgomery,Pennsylvania,13,0,4,0
2020-03-13,Montgomery,Pennsylvania,18,0,5,0
2020-03-14,Montgomery,Pennsylvania,20,0,2,0
2020-03-15,Montgomery,Pennsylvania,24,0,4,0
2020-03-16,Montgomery,Pennsylvania,30,0,6,0
2020-03-17,Montgomery,Pennsylvania,32,0,2,0
2020-03-18,Montgomery,Pennsylvania,42,0,10,0
2020-03-19,Montgomery,Pennsylvania,47,0,5,0
2020-03-20,Montgomery,Pennsylvania,59,0,12,0
2020-03-21,Montgomery,Pennsylvania,77,0,18,0
2020-03-22,Montgomery,Pennsylvania,110,1,33,1
2020-03-23,Montgomery,Pennsylvania,129,2,19,1
2020-03-24,Montgomery,Pennsylvania,144,2,15,0
2020-03-25,Montgomery,Pennsylvania,172,2,28,0
2020-03-26,Montgomery,Pennsylvania,282,2,110,0
2020-03-27,Montgomery,Pennsylvania,374,4,92,2
2020-03-28,Montgomery,Pennsylvania,411,5,37,1
2020-03-29,Montgomery,Pennsylvania,488,5,77,0
2020-03-30,Montgomery,Pennsylvania,540,5,52,0
2020-03-31,Montgomery,Pennsylvania,570,6,30,1
2020-04-01,Montgomery,Pennsylvania,649,8,79,2
2020-04-02,Montgomery,Pennsylvania,735,9,86,1
2020-04-03,Montgomery,Pennsylvania,875,11,140,2
