date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-12,Morris,New Jersey,1,0,0,0
2020-03-13,Morris,New Jersey,3,0,2,0
2020-03-14,Morris,New Jersey,5,0,2,0
2020-03-15,Morris,New Jersey,6,0,1,0
2020-03-16,Morris,New Jersey,8,0,2,0
2020-03-17,Morris,New Jersey,19,0,11,0
2020-03-18,Morris,New Jersey,19,0,0,0
2020-03-19,Morris,New Jersey,26,0,7,0
2020-03-20,Morris,New Jersey,35,0,9,0
2020-03-21,Morris,New Jersey,64,1,29,1
2020-03-22,Morris,New Jersey,119,1,55,0
2020-03-23,Morris,New Jersey,177,1,58,0
2020-03-24,Morris,New Jersey,204,4,27,3
2020-03-25,Morris,New Jersey,223,5,19,1
2020-03-26,Morris,New Jersey,315,7,92,2
2020-03-27,Morris,New Jersey,391,9,76,2
2020-03-28,Morris,New Jersey,442,12,51,3
2020-03-29,Morris,New Jersey,566,12,124,0
2020-03-30,Morris,New Jersey,720,13,154,1
2020-03-31,Morris,New Jersey,841,21,121,8
2020-04-01,Morris,New Jersey,942,25,101,4
2020-04-02,Morris,New Jersey,1082,40,140,15
2020-04-03,Morris,New Jersey,1298,43,216,3
