date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-05,Nassau,New York,1,0,0,0
2020-03-06,Nassau,New York,4,0,3,0
2020-03-07,Nassau,New York,4,0,0,0
2020-03-08,Nassau,New York,5,0,1,0
2020-03-09,Nassau,New York,17,0,12,0
2020-03-10,Nassau,New York,19,0,2,0
2020-03-11,Nassau,New York,28,0,9,0
2020-03-12,Nassau,New York,41,0,13,0
2020-03-13,Nassau,New York,51,0,10,0
2020-03-14,Nassau,New York,79,0,28,0
2020-03-15,Nassau,New York,98,0,19,0
2020-03-16,Nassau,New York,109,0,11,0
2020-03-17,Nassau,New York,131,2,22,2
2020-03-18,Nassau,New York,183,2,52,0
2020-03-19,Nassau,New York,382,3,199,1
2020-03-20,Nassau,New York,754,4,372,1
2020-03-21,Nassau,New York,1234,7,480,3
2020-03-22,Nassau,New York,1900,7,666,0
2020-03-23,Nassau,New York,2442,9,542,2
2020-03-24,Nassau,New York,2869,9,427,0
2020-03-25,Nassau,New York,3285,17,416,8
2020-03-26,Nassau,New York,3914,19,629,2
2020-03-27,Nassau,New York,4657,27,743,8
2020-03-28,Nassau,New York,5537,35,880,8
2020-03-29,Nassau,New York,6445,39,908,4
2020-03-30,Nassau,New York,7344,48,899,9
2020-03-31,Nassau,New York,8544,63,1200,15
2020-04-01,Nassau,New York,9555,76,1011,13
2020-04-02,Nassau,New York,10587,95,1032,19
2020-04-03,Nassau,New York,12024,138,1437,43
