date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-11,New Castle,Delaware,1,0,0,0
2020-03-12,New Castle,Delaware,4,0,3,0
2020-03-13,New Castle,Delaware,4,0,0,0
2020-03-14,New Castle,Delaware,4,0,0,0
2020-03-15,New Castle,Delaware,7,0,3,0
2020-03-16,New Castle,Delaware,8,0,1,0
2020-03-17,New Castle,Delaware,15,0,7,0
2020-03-18,New Castle,Delaware,20,0,5,0
2020-03-19,New Castle,Delaware,23,0,3,0
2020-03-20,New Castle,Delaware,28,0,5,0
2020-03-21,New Castle,Delaware,32,0,4,0
2020-03-22,New Castle,Delaware,39,0,7,0
2020-03-23,New Castle,Delaware,58,0,19,0
2020-03-24,New Castle,Delaware,71,0,13,0
2020-03-25,New Castle,Delaware,79,0,8,0
2020-03-26,New Castle,Delaware,91,0,12,0
2020-03-27,New Castle,Delaware,106,1,15,1
2020-03-28,New Castle,Delaware,130,2,24,1
2020-03-29,New Castle,Delaware,141,3,11,1
2020-03-30,New Castle,Delaware,156,3,15,0
2020-03-31,New Castle,Delaware,197,6,41,3
2020-04-01,New Castle,Delaware,226,6,29,0
2020-04-02,New Castle,Delaware,245,7,19,1
2020-04-03,New Castle,Delaware,279,9,34,2
