date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-20,New London,Connecticut,1,0,0,0
2020-03-21,New London,Connecticut,1,0,0,0
2020-03-22,New London,Connecticut,3,0,2,0
2020-03-23,New London,Connecticut,4,0,1,0
2020-03-24,New London,Connecticut,6,0,2,0
2020-03-25,New London,Connecticut,9,0,3,0
2020-03-26,New London,Connecticut,13,0,4,0
2020-03-27,New London,Connecticut,15,0,2,0
2020-03-28,New London,Connecticut,19,0,4,0
2020-03-29,New London,Connecticut,20,0,1,0
2020-03-30,New London,Connecticut,24,0,4,0
2020-03-31,New London,Connecticut,27,1,3,1
2020-04-01,New London,Connecticut,29,1,2,0
2020-04-02,New London,Connecticut,29,1,0,0
2020-04-03,New London,Connecticut,40,3,11,2
