date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-13,Ocean,New Jersey,1,0,0,0
2020-03-14,Ocean,New Jersey,1,0,0,0
2020-03-15,Ocean,New Jersey,2,0,1,0
2020-03-16,Ocean,New Jersey,3,0,1,0
2020-03-17,Ocean,New Jersey,4,0,1,0
2020-03-18,Ocean,New Jersey,16,0,12,0
2020-03-19,Ocean,New Jersey,33,0,17,0
2020-03-20,Ocean,New Jersey,49,0,16,0
2020-03-21,Ocean,New Jersey,62,0,13,0
2020-03-22,Ocean,New Jersey,102,0,40,0
2020-03-23,Ocean,New Jersey,144,0,42,0
2020-03-24,Ocean,New Jersey,180,1,36,1
2020-03-25,Ocean,New Jersey,222,5,42,4
2020-03-26,Ocean,New Jersey,389,5,167,0
2020-03-27,Ocean,New Jersey,484,8,95,3
2020-03-28,Ocean,New Jersey,624,9,140,1
2020-03-29,Ocean,New Jersey,759,9,135,0
2020-03-30,Ocean,New Jersey,874,12,115,3
2020-03-31,Ocean,New Jersey,1022,18,148,6
2020-04-01,Ocean,New Jersey,1209,23,187,5
2020-04-02,Ocean,New Jersey,1371,38,162,15
2020-04-03,Ocean,New Jersey,1685,45,314,7
