date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-12,Orange,New York,1,0,0,0
2020-03-13,Orange,New York,3,0,2,0
2020-03-14,Orange,New York,6,0,3,0
2020-03-15,Orange,New York,6,0,0,0
2020-03-16,Orange,New York,11,0,5,0
2020-03-17,Orange,New York,15,0,4,0
2020-03-18,Orange,New York,32,0,17,0
2020-03-19,Orange,New York,51,0,19,0
2020-03-20,Orange,New York,84,0,33,0
2020-03-21,Orange,New York,163,0,79,0
2020-03-22,Orange,New York,247,0,84,0
2020-03-23,Orange,New York,389,0,142,0
2020-03-24,Orange,New York,498,0,109,0
2020-03-25,Orange,New York,638,0,140,0
2020-03-26,Orange,New York,751,2,113,2
2020-03-27,Orange,New York,910,3,159,1
2020-03-28,Orange,New York,1101,3,191,0
2020-03-29,Orange,New York,1247,3,146,0
2020-03-30,Orange,New York,1435,3,188,0
2020-03-31,Orange,New York,1560,3,125,0
2020-04-01,Orange,New York,1756,25,196,22
2020-04-02,Orange,New York,2048,30,292,5
2020-04-03,Orange,New York,2397,30,349,0
