date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-23,Otsego,New York,1,0,0,0
2020-03-24,Otsego,New York,1,0,0,0
2020-03-25,Otsego,New York,2,0,1,0
2020-03-26,Otsego,New York,3,0,1,0
2020-03-27,Otsego,New York,5,0,2,0
2020-03-28,Otsego,New York,7,0,2,0
2020-03-29,Otsego,New York,10,0,3,0
2020-03-30,Otsego,New York,17,0,7,0
2020-03-31,Otsego,New York,18,0,1,0
2020-04-01,Otsego,New York,19,1,1,1
2020-04-02,Otsego,New York,21,1,2,0
2020-04-03,Otsego,New York,21,1,0,0
