date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-08,Passaic,New Jersey,1,0,0,0
2020-03-09,Passaic,New Jersey,1,0,0,0
2020-03-10,Passaic,New Jersey,1,0,0,0
2020-03-11,Passaic,New Jersey,1,0,0,0
2020-03-12,Passaic,New Jersey,1,0,0,0
2020-03-13,Passaic,New Jersey,2,0,1,0
2020-03-14,Passaic,New Jersey,2,0,0,0
2020-03-15,Passaic,New Jersey,5,0,3,0
2020-03-16,Passaic,New Jersey,8,0,3,0
2020-03-17,Passaic,New Jersey,10,0,2,0
2020-03-18,Passaic,New Jersey,18,0,8,0
2020-03-19,Passaic,New Jersey,38,0,20,0
2020-03-20,Passaic,New Jersey,49,0,11,0
2020-03-21,Passaic,New Jersey,67,0,18,0
2020-03-22,Passaic,New Jersey,95,1,28,1
2020-03-23,Passaic,New Jersey,141,2,46,1
2020-03-24,Passaic,New Jersey,216,3,75,1
2020-03-25,Passaic,New Jersey,255,4,39,1
2020-03-26,Passaic,New Jersey,399,5,144,1
2020-03-27,Passaic,New Jersey,484,5,85,0
2020-03-28,Passaic,New Jersey,608,7,124,2
2020-03-29,Passaic,New Jersey,831,7,223,0
2020-03-30,Passaic,New Jersey,1091,9,260,2
2020-03-31,Passaic,New Jersey,1294,11,203,2
2020-04-01,Passaic,New Jersey,1494,15,200,4
2020-04-02,Passaic,New Jersey,1750,22,256,7
2020-04-03,Passaic,New Jersey,2216,34,466,12
