date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-10,Philadelphia,Pennsylvania,1,0,0,0
2020-03-11,Philadelphia,Pennsylvania,1,0,0,0
2020-03-12,Philadelphia,Pennsylvania,1,0,0,0
2020-03-13,Philadelphia,Pennsylvania,3,0,2,0
2020-03-14,Philadelphia,Pennsylvania,4,0,1,0
2020-03-15,Philadelphia,Pennsylvania,8,0,4,0
2020-03-16,Philadelphia,Pennsylvania,8,0,0,0
2020-03-17,Philadelphia,Pennsylvania,10,0,2,0
2020-03-18,Philadelphia,Pennsylvania,17,0,7,0
2020-03-19,Philadelphia,Pennsylvania,33,0,16,0
2020-03-20,Philadelphia,Pennsylvania,42,0,9,0
2020-03-21,Philadelphia,Pennsylvania,69,0,27,0
2020-03-22,Philadelphia,Pennsylvania,91,0,22,0
2020-03-23,Philadelphia,Pennsylvania,128,0,37,0
2020-03-24,Philadelphia,Pennsylvania,177,0,49,0
2020-03-25,Philadelphia,Pennsylvania,257,1,80,1
2020-03-26,Philadelphia,Pennsylvania,402,1,145,0
2020-03-27,Philadelphia,Pennsylvania,530,2,128,1
2020-03-28,Philadelphia,Pennsylvania,709,5,179,3
2020-03-29,Philadelphia,Pennsylvania,865,5,156,0
2020-03-30,Philadelphia,Pennsylvania,1072,7,207,2
2020-03-31,Philadelphia,Pennsylvania,1315,14,243,7
2020-04-01,Philadelphia,Pennsylvania,1478,14,163,0
2020-04-02,Philadelphia,Pennsylvania,1852,14,374,0
2020-04-03,Philadelphia,Pennsylvania,2284,14,432,0
