date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-12,Pike,Pennsylvania,1,0,0,0
2020-03-13,Pike,Pennsylvania,1,0,0,0
2020-03-14,Pike,Pennsylvania,1,0,0,0
2020-03-15,Pike,Pennsylvania,1,0,0,0
2020-03-16,Pike,Pennsylvania,1,0,0,0
2020-03-17,Pike,Pennsylvania,1,0,0,0
2020-03-18,Pike,Pennsylvania,2,0,1,0
2020-03-19,Pike,Pennsylvania,3,0,1,0
2020-03-20,Pike,Pennsylvania,3,0,0,0
2020-03-21,Pike,Pennsylvania,3,0,0,0
2020-03-22,Pike,Pennsylvania,3,0,0,0
2020-03-23,Pike,Pennsylvania,3,0,0,0
2020-03-24,Pike,Pennsylvania,4,0,1,0
2020-03-25,Pike,Pennsylvania,9,0,5,0
2020-03-26,Pike,Pennsylvania,15,0,6,0
2020-03-27,Pike,Pennsylvania,23,0,8,0
2020-03-28,Pike,Pennsylvania,27,1,4,1
2020-03-29,Pike,Pennsylvania,33,1,6,0
2020-03-30,Pike,Pennsylvania,39,1,6,0
2020-03-31,Pike,Pennsylvania,48,1,9,0
2020-04-01,Pike,Pennsylvania,57,1,9,0
2020-04-02,Pike,Pennsylvania,68,1,11,0
2020-04-03,Pike,Pennsylvania,83,1,15,0
