date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-15,Putnam,New York,2,0,0,0
2020-03-16,Putnam,New York,2,0,0,0
2020-03-17,Putnam,New York,2,0,0,0
2020-03-18,Putnam,New York,2,0,0,0
2020-03-19,Putnam,New York,2,0,0,0
2020-03-20,Putnam,New York,7,0,5,0
2020-03-21,Putnam,New York,22,0,15,0
2020-03-22,Putnam,New York,37,0,15,0
2020-03-23,Putnam,New York,45,0,8,0
2020-03-24,Putnam,New York,67,0,22,0
2020-03-25,Putnam,New York,84,0,17,0
2020-03-26,Putnam,New York,94,0,10,0
2020-03-27,Putnam,New York,111,0,17,0
2020-03-28,Putnam,New York,131,0,20,0
2020-03-29,Putnam,New York,144,0,13,0
2020-03-30,Putnam,New York,167,0,23,0
2020-03-31,Putnam,New York,186,0,19,0
2020-04-01,Putnam,New York,207,0,21,0
2020-04-02,Putnam,New York,236,0,29,0
2020-04-03,Putnam,New York,236,0,0,0
