date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-06,Rockland,New York,2,0,0,0
2020-03-07,Rockland,New York,2,0,0,0
2020-03-08,Rockland,New York,2,0,0,0
2020-03-09,Rockland,New York,4,0,2,0
2020-03-10,Rockland,New York,6,0,2,0
2020-03-11,Rockland,New York,6,0,0,0
2020-03-12,Rockland,New York,7,0,1,0
2020-03-13,Rockland,New York,9,0,2,0
2020-03-14,Rockland,New York,12,1,3,1
2020-03-15,Rockland,New York,13,1,1,0
2020-03-16,Rockland,New York,16,1,3,0
2020-03-17,Rockland,New York,22,2,6,1
2020-03-18,Rockland,New York,30,2,8,0
2020-03-19,Rockland,New York,53,2,23,0
2020-03-20,Rockland,New York,101,3,48,1
2020-03-21,Rockland,New York,262,3,161,0
2020-03-22,Rockland,New York,455,3,193,0
2020-03-23,Rockland,New York,592,5,137,2
2020-03-24,Rockland,New York,671,5,79,0
2020-03-25,Rockland,New York,1069,7,398,2
2020-03-26,Rockland,New York,1197,7,128,0
2020-03-27,Rockland,New York,1457,8,260,1
2020-03-28,Rockland,New York,1896,8,439,0
2020-03-29,Rockland,New York,2209,8,313,0
2020-03-30,Rockland,New York,2511,8,302,0
2020-03-31,Rockland,New York,2863,8,352,0
2020-04-01,Rockland,New York,3321,29,458,21
2020-04-02,Rockland,New York,3751,42,430,13
2020-04-03,Rockland,New York,4289,42,538,0
