date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-22,Schuylkill,Pennsylvania,1,0,0,0
2020-03-23,Schuylkill,Pennsylvania,3,0,2,0
2020-03-24,Schuylkill,Pennsylvania,5,0,2,0
2020-03-25,Schuylkill,Pennsylvania,6,0,1,0
2020-03-26,Schuylkill,Pennsylvania,9,0,3,0
2020-03-27,Schuylkill,Pennsylvania,13,0,4,0
2020-03-28,Schuylkill,Pennsylvania,16,0,3,0
2020-03-29,Schuylkill,Pennsylvania,21,0,5,0
2020-03-30,Schuylkill,Pennsylvania,30,0,9,0
2020-03-31,Schuylkill,Pennsylvania,38,0,8,0
2020-04-01,Schuylkill,Pennsylvania,47,0,9,0
2020-04-02,Schuylkill,Pennsylvania,54,0,7,0
2020-04-03,Schuylkill,Pennsylvania,63,0,9,0
