date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-16,Somerset,New Jersey,4,0,0,0
2020-03-17,Somerset,New Jersey,6,0,2,0
2020-03-18,Somerset,New Jersey,15,0,9,0
2020-03-19,Somerset,New Jersey,20,0,5,0
2020-03-20,Somerset,New Jersey,27,0,7,0
2020-03-21,Somerset,New Jersey,34,0,7,0
2020-03-22,Somerset,New Jersey,51,1,17,1
2020-03-23,Somerset,New Jersey,67,2,16,1
2020-03-24,Somerset,New Jersey,102,2,35,0
2020-03-25,Somerset,New Jersey,117,3,15,1
2020-03-26,Somerset,New Jersey,179,4,62,1
2020-03-27,Somerset,New Jersey,222,7,43,3
2020-03-28,Somerset,New Jersey,258,8,36,1
2020-03-29,Somerset,New Jersey,295,8,37,0
2020-03-30,Somerset,New Jersey,349,14,54,6
2020-03-31,Somerset,New Jersey,413,14,64,0
2020-04-01,Somerset,New Jersey,472,15,59,1
2020-04-02,Somerset,New Jersey,549,17,77,2
2020-04-03,Somerset,New Jersey,641,23,92,6
