date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-08,Suffolk,New York,1,0,0,0
2020-03-09,Suffolk,New York,1,0,0,0
2020-03-10,Suffolk,New York,1,0,0,0
2020-03-11,Suffolk,New York,6,0,5,0
2020-03-12,Suffolk,New York,21,0,15,0
2020-03-13,Suffolk,New York,29,0,8,0
2020-03-14,Suffolk,New York,41,0,12,0
2020-03-15,Suffolk,New York,47,0,6,0
2020-03-16,Suffolk,New York,63,2,16,2
2020-03-17,Suffolk,New York,84,3,21,1
2020-03-18,Suffolk,New York,116,3,32,0
2020-03-19,Suffolk,New York,178,3,62,0
2020-03-20,Suffolk,New York,371,7,193,4
2020-03-21,Suffolk,New York,662,9,291,2
2020-03-22,Suffolk,New York,1034,12,372,3
2020-03-23,Suffolk,New York,1458,13,424,1
2020-03-24,Suffolk,New York,1880,13,422,0
2020-03-25,Suffolk,New York,2260,20,380,7
2020-03-26,Suffolk,New York,2735,22,475,2
2020-03-27,Suffolk,New York,3385,22,650,0
2020-03-28,Suffolk,New York,4138,37,753,15
2020-03-29,Suffolk,New York,5023,40,885,3
2020-03-30,Suffolk,New York,5791,44,768,4
2020-03-31,Suffolk,New York,6713,53,922,9
2020-04-01,Suffolk,New York,7605,69,892,16
2020-04-02,Suffolk,New York,8746,84,1141,15
2020-04-03,Suffolk,New York,10154,96,1408,12
