date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-17,Sullivan,New York,1,0,0,0
2020-03-18,Sullivan,New York,1,0,0,0
2020-03-19,Sullivan,New York,8,0,7,0
2020-03-20,Sullivan,New York,8,0,0,0
2020-03-21,Sullivan,New York,12,0,4,0
2020-03-22,Sullivan,New York,16,0,4,0
2020-03-23,Sullivan,New York,23,0,7,0
2020-03-24,Sullivan,New York,30,0,7,0
2020-03-25,Sullivan,New York,39,0,9,0
2020-03-26,Sullivan,New York,53,0,14,0
2020-03-27,Sullivan,New York,64,0,11,0
2020-03-28,Sullivan,New York,72,0,8,0
2020-03-29,Sullivan,New York,88,0,16,0
2020-03-30,Sullivan,New York,101,0,13,0
2020-03-31,Sullivan,New York,109,1,8,1
2020-04-01,Sullivan,New York,121,4,12,3
2020-04-02,Sullivan,New York,156,5,35,1
2020-04-03,Sullivan,New York,156,5,0,0
