date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-19,Sussex,New Jersey,2,0,0,0
2020-03-20,Sussex,New Jersey,3,0,1,0
2020-03-21,Sussex,New Jersey,6,0,3,0
2020-03-22,Sussex,New Jersey,12,0,6,0
2020-03-23,Sussex,New Jersey,15,0,3,0
2020-03-24,Sussex,New Jersey,18,0,3,0
2020-03-25,Sussex,New Jersey,27,0,9,0
2020-03-26,Sussex,New Jersey,49,0,22,0
2020-03-27,Sussex,New Jersey,65,0,16,0
2020-03-28,Sussex,New Jersey,81,1,16,1
2020-03-29,Sussex,New Jersey,93,1,12,0
2020-03-30,Sussex,New Jersey,113,3,20,2
2020-03-31,Sussex,New Jersey,132,3,19,0
2020-04-01,Sussex,New Jersey,158,6,26,3
2020-04-02,Sussex,New Jersey,179,7,21,1
2020-04-03,Sussex,New Jersey,210,8,31,1
