date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-14,Tioga,New York,1,0,0,0
2020-03-15,Tioga,New York,1,0,0,0
2020-03-16,Tioga,New York,1,0,0,0
2020-03-17,Tioga,New York,1,0,0,0
2020-03-18,Tioga,New York,1,0,0,0
2020-03-19,Tioga,New York,1,0,0,0
2020-03-20,Tioga,New York,1,0,0,0
2020-03-21,Tioga,New York,1,0,0,0
2020-03-22,Tioga,New York,1,0,0,0
2020-03-23,Tioga,New York,1,0,0,0
2020-03-24,Tioga,New York,1,0,0,0
2020-03-25,Tioga,New York,1,0,0,0
2020-03-26,Tioga,New York,2,0,1,0
2020-03-27,Tioga,New York,2,0,0,0
2020-03-28,Tioga,New York,4,0,2,0
2020-03-29,Tioga,New York,4,0,0,0
2020-03-30,Tioga,New York,4,0,0,0
2020-03-31,Tioga,New York,7,0,3,0
2020-04-01,Tioga,New York,7,0,0,0
2020-04-02,Tioga,New York,8,0,1,0
2020-04-03,Tioga,New York,8,0,0,0
