date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-08,Ulster,New York,1,0,0,0
2020-03-09,Ulster,New York,1,0,0,0
2020-03-10,Ulster,New York,1,0,0,0
2020-03-11,Ulster,New York,2,0,1,0
2020-03-12,Ulster,New York,4,0,2,0
2020-03-13,Ulster,New York,5,0,1,0
2020-03-14,Ulster,New York,5,0,0,0
2020-03-15,Ulster,New York,5,0,0,0
2020-03-16,Ulster,New York,7,0,2,0
2020-03-17,Ulster,New York,8,0,1,0
2020-03-18,Ulster,New York,9,0,1,0
2020-03-19,Ulster,New York,12,0,3,0
2020-03-20,Ulster,New York,12,0,0,0
2020-03-21,Ulster,New York,18,0,6,0
2020-03-22,Ulster,New York,26,0,8,0
2020-03-23,Ulster,New York,35,0,9,0
2020-03-24,Ulster,New York,47,0,12,0
2020-03-25,Ulster,New York,65,0,18,0
2020-03-26,Ulster,New York,89,0,24,0
2020-03-27,Ulster,New York,98,0,9,0
2020-03-28,Ulster,New York,128,0,30,0
2020-03-29,Ulster,New York,179,1,51,1
2020-03-30,Ulster,New York,207,1,28,0
2020-03-31,Ulster,New York,215,3,8,2
2020-04-01,Ulster,New York,222,3,7,0
2020-04-02,Ulster,New York,243,3,21,0
2020-04-03,Ulster,New York,243,3,0,0
