date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-06,Wayne,Pennsylvania,1,0,0,0
2020-03-07,Wayne,Pennsylvania,1,0,0,0
2020-03-08,Wayne,Pennsylvania,1,0,0,0
2020-03-09,Wayne,Pennsylvania,1,0,0,0
2020-03-10,Wayne,Pennsylvania,1,0,0,0
2020-03-11,Wayne,Pennsylvania,1,0,0,0
2020-03-12,Wayne,Pennsylvania,1,0,0,0
2020-03-13,Wayne,Pennsylvania,1,0,0,0
2020-03-14,Wayne,Pennsylvania,1,0,0,0
2020-03-15,Wayne,Pennsylvania,1,0,0,0
2020-03-16,Wayne,Pennsylvania,1,0,0,0
2020-03-17,Wayne,Pennsylvania,1,0,0,0
2020-03-18,Wayne,Pennsylvania,1,0,0,0
2020-03-19,Wayne,Pennsylvania,1,0,0,0
2020-03-20,Wayne,Pennsylvania,1,0,0,0
2020-03-21,Wayne,Pennsylvania,1,0,0,0
2020-03-22,Wayne,Pennsylvania,2,0,1,0
2020-03-23,Wayne,Pennsylvania,3,0,1,0
2020-03-24,Wayne,Pennsylvania,4,0,1,0
2020-03-25,Wayne,Pennsylvania,4,0,0,0
2020-03-26,Wayne,Pennsylvania,6,0,2,0
2020-03-27,Wayne,Pennsylvania,6,0,0,0
2020-03-28,Wayne,Pennsylvania,6,0,0,0
2020-03-29,Wayne,Pennsylvania,7,0,1,0
2020-03-30,Wayne,Pennsylvania,10,0,3,0
2020-03-31,Wayne,Pennsylvania,10,0,0,0
2020-04-01,Wayne,Pennsylvania,14,0,4,0
2020-04-02,Wayne,Pennsylvania,17,0,3,0
2020-04-03,Wayne,Pennsylvania,23,0,6,0
