date,county,state,confirmed cases,deaths,new cases per day,new deaths per day
2020-03-04,Westchester,New York,9,0,0,0
2020-03-05,Westchester,New York,17,0,8,0
2020-03-06,Westchester,New York,33,0,16,0
2020-03-07,Westchester,New York,69,0,36,0
2020-03-08,Westchester,New York,81,0,12,0
2020-03-09,Westchester,New York,97,0,16,0
2020-03-10,Westchester,New York,107,0,10,0
2020-03-11,Westchester,New York,120,0,13,0
2020-03-12,Westchester,New York,147,0,27,0
2020-03-13,Westchester,New York,157,0,10,0
2020-03-14,Westchester,New York,178,0,21,0
2020-03-15,Westchester,New York,195,0,17,0
2020-03-16,Westchester,New York,219,0,24,0
2020-03-17,Westchester,New York,379,0,160,0
2020-03-18,Westchester,New York,537,0,158,0
2020-03-19,Westchester,New York,797,0,260,0
2020-03-20,Westchester,New York,1091,0,294,0
2020-03-21,Westchester,New York,1387,0,296,0
2020-03-22,Westchester,New York,1873,0,486,0
2020-03-23,Westchester,New York,2894,0,1021,0
2020-03-24,Westchester,New York,3891,6,997,6
2020-03-25,Westchester,New York,4691,6,800,0
2020-03-26,Westchester,New York,5944,8,1253,2
2020-03-27,Westchester,New York,7187,10,1243,2
2020-03-28,Westchester,New York,7875,10,688,0
2020-03-29,Westchester,New York,8519,10,644,0
2020-03-30,Westchester,New York,9326,19,807,9
2020-03-31,Westchester,New York,9967,25,641,6
2020-04-01,Westchester,New York,10683,25,716,0
2020-04-02,Westchester,New York,11566,67,883,42
2020-04-03,Westchester,New York,12350,67,784,0
